;Bone,ボーン名,ボーン名(英),変形階層,物理後(0/1),位置_x,位置_y,位置_z,回転(0/1),移動(0/1),IK(0/1),表示(0/1),操作(0/1),親ボーン名,表示先(0:オフセット/1:ボーン),表示先ボーン名,オフセット_x,オフセット_y,オフセット_z,ローカル付与(0/1),回転付与(0/1),移動付与(0/1),付与率,付与親名,軸制限(0/1),制限軸_x,制限軸_y,制限軸_z,ローカル軸(0/1),ローカルX軸_x,ローカルX軸_y,ローカルX軸_z,ローカルZ軸_x,ローカルZ軸_y,ローカルZ軸_z,外部親(0/1),外部親Key,IKTarget名,IKLoop,IK単位角[deg]
Bone,"全ての親","root",0,0,0,0,0,1,1,0,1,1,"",0,"",0,3.5441,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"両足オフセ","",0,0,0,0,0.6810375,1,1,0,1,1,"全ての親",0,"",0,0,1.623125,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右足オフセ","",0,0,-1.248441,0,0,1,1,0,1,1,"両足オフセ",0,"",-1.048575,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右足ＩＫ","leg IK_R",1,0,-1.248441,2.424163,0.2385375,1,1,1,1,1,"右足オフセ",0,"",0,0,1.195375,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"右足首",30,114.5916
;IKLink,親ボーン名,Linkボーン名,角度制限(0/1),XL[deg],XH[deg],YL[deg],YH[deg],ZL[deg],ZH[deg]
IKLink,"右足ＩＫ","右ひざ",1,-160,0,0,0,0,0
IKLink,"右足ＩＫ","右足",0,0,0,0,0,0,0
Bone,"右つま先ＩＫ","toe IK_L",1,0,-1.248441,0.1391625,-1.93635,1,0,1,1,1,"右足ＩＫ",0,"",0,-1.12485,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"右つま先_d",3,114.5916
;IKLink,親ボーン名,Linkボーン名,角度制限(0/1),XL[deg],XH[deg],YL[deg],YH[deg],ZL[deg],ZH[deg]
IKLink,"右つま先ＩＫ","右足首",0,0,0,0,0,0,0
Bone,"右つま先ＩＫ2","",1,0,-1.248441,0.1391625,-2.614112,0,0,0,0,0,"右つま先ＩＫ",0,"",0,-1.12485,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左足オフセ","",0,0,1.248441,0,0,1,1,0,1,1,"両足オフセ",0,"",1.048575,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左足ＩＫ","leg IK_L",1,0,1.248441,2.424163,0.2385375,1,1,1,1,1,"左足オフセ",0,"",0,0,1.195375,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"左足首",30,114.5916
;IKLink,親ボーン名,Linkボーン名,角度制限(0/1),XL[deg],XH[deg],YL[deg],YH[deg],ZL[deg],ZH[deg]
IKLink,"左足ＩＫ","左ひざ",1,-160,0,0,0,0,0
IKLink,"左足ＩＫ","左足",0,0,0,0,0,0,0
Bone,"左つま先ＩＫ","toe IK_L",1,0,1.248441,0.1391625,-1.93635,1,0,1,1,1,"左足ＩＫ",0,"",0,-1.12485,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"左つま先_d",3,114.5916
;IKLink,親ボーン名,Linkボーン名,角度制限(0/1),XL[deg],XH[deg],YL[deg],YH[deg],ZL[deg],ZH[deg]
IKLink,"左つま先ＩＫ","左足首",0,0,0,0,0,0,0
Bone,"左つま先ＩＫ2","",1,0,1.248441,0.1391625,-2.614112,0,0,0,0,0,"左つま先ＩＫ",0,"",0,-1.12485,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"センター","center",0,0,0,11.68708,0,1,1,0,1,1,"全ての親",0,"",0,1.759899,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"下半身","lower body",0,0,0,14.19576,-0.6025,1,0,0,1,1,"センター",0,"",0,-2.273554,0,0,0,0,1,"",0,0,0,0,1,1,0,0,0,-0.9999999,-5.960464E-08,0,0,"",0,57.29578
Bone,"右スカート11","",0,0,-1.860648,12.8624,-0.5284371,1,0,0,1,1,"下半身",0,"",-0.2244334,-1.794762,0.1243579,0,0,0,1,"",0,0,0,0,1,-0.9885604,0.1170257,-0.09515059,-0.1237921,-0.9899477,0.06859289,0,0,"",0,57.29578
Bone,"右スカート12","",0,0,-2.085081,11.06764,-0.4040792,1,0,0,1,1,"右スカート11",0,"",-0.2078829,-2.127774,0.04676485,0,0,0,1,"",0,0,0,0,1,-0.9935017,0.09571104,-0.06159527,-0.09721453,-0.9950343,0.02186918,0,0,"",0,57.29578
Bone,"右スカート13","",0,0,-2.292964,8.939864,-0.3573143,1,0,0,1,1,"右スカート12",0,"",-0.2231946,-2.102139,-0.005185246,0,0,0,1,"",0,0,0,0,1,-0.9923196,0.1055187,-0.06455845,-0.1055818,-0.9944132,-0.002452797,0,0,"",0,57.29578
Bone,"右スカート14","",0,0,-2.516159,6.837725,-0.3624996,1,0,0,1,1,"右スカート13",0,"",-0.2428606,-1.935031,0.05859527,0,0,0,1,"",0,0,0,0,1,-0.989239,0.1216974,-0.08121557,-0.1244739,-0.9917662,0.03003193,0,0,"",0,57.29578
Bone,"右スカート15","",0,0,-2.759019,4.902694,-0.3039043,1,0,0,1,1,"右スカート14",0,"",-0.1802073,-1.79998,0.05450577,0,0,0,1,"",0,0,0,0,1,-0.9914393,0.096599,-0.08784833,-0.09957567,-0.9946005,0.03011798,0,0,"",0,57.29578
Bone,"右スカート16","",0,1,-2.939226,3.102714,-0.2493986,1,0,0,1,1,"右スカート15",0,"",-0.0312891,-0.3125281,0.009463757,0,0,0,1,"",0,0,0,0,1,-0.9914391,0.09659884,-0.08784905,-0.0995743,-0.994588,0.03011755,0,0,"",0,57.29578
Bone,"右スカート21","",0,0,-1.871477,12.8624,0.07891774,1,0,0,1,1,"下半身",0,"",-0.1989932,-1.794762,0.1243579,0,0,0,1,"",0,0,0,0,1,-0.9909737,0.1040138,-0.08457109,-0.1099391,-0.9915637,0.06870485,0,0,"",0,57.29578
Bone,"右スカート22","",0,0,-2.07047,11.06764,0.2032757,1,0,0,1,1,"右スカート21",0,"",-0.1578307,-2.127774,0.04676485,0,0,0,1,"",0,0,0,0,1,-0.9648743,0.06598209,-0.2542899,-0.07395343,-0.9969944,0.021912,0,0,"",0,57.29578
Bone,"右スカート23","",0,0,-2.228301,8.939864,0.2500405,1,0,0,1,1,"右スカート22",0,"",-0.07140255,-2.102139,-0.005185246,0,0,0,1,"",0,0,0,0,1,-0.9992058,0.03399093,-0.0207962,-0.03394721,-0.999429,-0.002465266,0,0,"",0,57.29578
Bone,"右スカート24","",0,0,-2.299704,6.837725,0.2448553,1,0,0,1,1,"右スカート23",0,"",-0.1418197,-1.935031,0.05859527,0,0,0,1,"",0,0,0,0,1,-0.9962908,0.07157247,-0.04776432,-0.07305935,-0.9968436,0.03018575,0,0,"",0,57.29578
Bone,"右スカート25","",0,0,-2.441523,4.902694,0.3034506,1,0,0,1,1,"右スカート24",0,"",-0.1153848,-1.796037,0.05438638,0,0,0,1,"",0,0,0,0,1,-0.9956117,0.06183527,-0.07023856,-0.06408191,-0.9974753,0.03020492,0,0,"",0,57.29578
Bone,"右スカート26","",0,1,-2.556908,3.106656,0.3578369,1,0,0,1,1,"右スカート25",0,"",-0.02033114,-0.3164709,0.009583145,0,0,0,1,"",0,0,0,0,1,-0.9956121,0.06183467,-0.07023402,-0.0640813,-0.9974777,0.03020498,0,0,"",0,57.29578
Bone,"右スカート31","",0,0,-1.755042,12.8624,0.6126471,1,0,0,1,1,"下半身",0,"",-0.2267023,-1.794762,0.1243579,0,0,0,1,"",0,0,0,0,1,-0.9883317,0.1181814,-0.09609035,-0.1250208,-0.9897672,0.06858029,0,0,"",0,57.29578
