;Joint,Joint名,Joint名(英),剛体名A,剛体名B,Jointタイプ(0:ﾊﾞﾈ付6DOF/1:6DOF/2:ConeTwist/3:P2P/4:Slider/5:Hinge/),位置_x,位置_y,位置_z,回転_x[deg],回転_y[deg],回転_z[deg],移動下限_x,移動下限_y,移動下限_z,移動上限_x,移動上限_y,移動上限_z,回転下限_x[deg],回転下限_y[deg],回転下限_z[deg],回転上限_x[deg],回転上限_y[deg],回転上限_z[deg],バネ定数-移動_x,バネ定数-移動_y,バネ定数-移動_z,バネ定数-回転_x,バネ定数-回転_y,バネ定数-回転_z
Joint,"左前髪0301","","頭_1","左前髪0301",0,0.7863916,19.39989,-0.3688362,0,0,0,0,0,0,0,0,0,-30,-10,-30,30,10,30,0,0,0,0,0,0
Joint,"右前髪0301","","頭_1","右前髪0301",0,-0.7863916,19.39989,-0.3688362,0,0,0,0,0,0,0,0,0,-30,-10,-30,30,10,30,0,0,0,0,0,0
Joint,"前髪0201","","頭_1","前髪0201",0,-0.8238592,19.93166,-0.7464447,0,0,0,0,0,0,0,0,0,-30,-10,-30,30,10,30,0,0,0,0,0,0
Joint,"前髪0202","","前髪0201","前髪0202",0,-0.8238592,19.30684,-0.7464447,0,0,0,0,0,0,0,0,0,-30,-10,-30,30,10,30,0,0,0,0,0,0
Joint,"前髪0101","","頭_1","前髪0101",0,0,20.06931,-0.9813824,0,0,0,0,0,0,0,0,0,-30,0,-30,0,0,30,0,0,0,0,0,0
Joint,"右後髪0301","","頭_1","右後髪0301",0,-0.756014,19.07223,0.2332681,0,0,0,0,0,0,0,0,0,-30,-10,-30,30,10,30,0,0,0,0,0,0
Joint,"右後髪0302","","右後髪0301","右後髪0302",0,-0.756014,18.55278,0.2332681,0,0,0,0,0,0,0,0,0,-30,-10,-30,30,10,30,0,0,0,0,0,0
Joint,"左後髪0301","","頭_1","左後髪0301",0,0.756014,19.07223,0.2332681,0,0,0,0,0,0,0,0,0,-30,-10,-30,30,10,30,0,0,0,0,0,0
Joint,"左後髪0302","","左後髪0301","左後髪0302",0,0.756014,18.55278,0.2332681,0,0,0,0,0,0,0,0,0,-30,-10,-30,30,10,30,0,0,0,0,0,0
Joint,"右後髪0201","","頭_1","右後髪0201",0,-0.5528691,19.35394,0.7812731,0,0,0,0,0,0,0,0,0,-30,-10,-30,30,10,30,0,0,0,0,0,0
Joint,"左後髪0201","","頭_1","左後髪0201",0,0.5528691,19.35394,0.7812731,0,0,0,0,0,0,0,0,0,-30,-10,-30,30,10,30,0,0,0,0,0,0
Joint,"後髪0101","","頭_1","後髪0101",0,0,19.35394,0.9689329,0,0,0,0,0,0,0,0,0,-30,-10,-30,30,10,30,0,0,0,0,0,0
Joint,"左後髪0401","","頭_1","左後髪0401",0,0.6331182,20.19074,0.8541746,0,0,0,0,0,0,0,0,0,-10,-10,-10,10,10,10,0,0,0,10,10,10
Joint,"左後髪0402","","左後髪0401","左後髪0402",0,1.556943,19.75704,1.761373,0,0,0,0,0,0,0,0,0,-30,-10,-30,30,10,30,0,0,0,10,10,10
Joint,"左後髪0403","","左後髪0402","左後髪0403",0,1.909126,18.47207,2.317573,0,0,0,0,0,0,0,0,0,-30,-10,-30,30,10,30,0,0,0,10,10,10
Joint,"右後髪0401","","頭_1","右後髪0401",0,-0.6331182,20.19074,0.8541746,0,0,0,0,0,0,0,0,0,-10,-10,-10,10,10,10,0,0,0,10,10,10
Joint,"右後髪0402","","右後髪0401","右後髪0402",0,-1.556943,19.75704,1.761373,0,0,0,0,0,0,0,0,0,-30,-10,-30,30,10,30,0,0,0,10,10,10
Joint,"右後髪0403","","右後髪0402","右後髪0403",0,-1.909126,18.47207,2.317573,0,0,0,0,0,0,0,0,0,-30,-10,-30,30,10,30,0,0,0,10,10,10
Joint,"左後髪0501","","頭_1","左後髪0501",0,0.7218636,20.29579,1.026955,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"左後髪0502","","左後髪0501","左後髪0502",0,1.248289,18.12764,1.536289,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"左後髪0503","","左後髪0502","左後髪0503",0,1.630875,16.34082,1.924871,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"左後髪0504","","左後髪0503","左後髪0504",0,2.107221,14.52573,2.354232,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"左後髪0505","","左後髪0504","左後髪0505",0,2.463612,12.49493,2.692989,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"左後髪0506","","左後髪0505","左後髪0506",0,2.544593,10.31668,2.831502,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
