;Body,剛体名,剛体名(英),関連ボーン名,剛体タイプ(0:Bone/1:物理演算/2:物理演算+ボーン追従),グループ(0~15),非衝突グループ文字列(ex:1 2 3 4),形状(0:球/1:箱/2:カプセル),サイズ_x,サイズ_y,サイズ_z,位置_x,位置_y,位置_z,回転_x[deg],回転_y[deg],回転_z[deg],質量,移動減衰,回転減衰,反発力,摩擦力
Body,"下半身_1","","下半身",0,0,1 ,2,1,1,0,0,13.05898,-0.2,0,0,90,1,0.5,0.5,0,0.5
Body,"下半身_2","","下半身",0,0,,2,1,1,0,0,12.3,0,0,0,90,1,0.5,0.5,0,0.5
Body,"下半身_3","","下半身",0,0,1 ,2,0.3,3,0,1.7,13.5,-1.5,5,0,25,1,0.5,0.5,0,0.5
Body,"下半身_4","","下半身",0,0,1 ,2,0.3,3,0,2.2,13.5,-0.75,5,0,25,1,0.5,0.5,0,0.5
Body,"下半身_5","","下半身",0,0,1 ,2,0.3,3,0,2,13.5,0,5,0,25,1,0.5,0.5,0,0.5
Body,"上半身","","上半身",0,0,1 ,2,0.8,0.8,0,0,14.74531,-0.6025,0,0,90,1,0.5,0.5,0,0.5
Body,"上半身2_1","","上半身2",0,0,1 ,2,1.1,0.5,0,0,16.2,-0.3,14.1419,0,90,1,0.5,0.5,0,0.5
Body,"上半身2_2","","上半身2",0,0,1 ,2,0.9,0.8,0,0,17,0,14.1419,0,90,1,0.5,0.5,0,0.5
Body,"上半身2_3","","上半身2",0,0,1 ,2,0.6,1.2,0,0,16.2,-1,14.1419,0,90,1,0.5,0.5,0,0.5
Body,"上半身2_4","","上半身2",0,8,1 ,0,0.7,2.465982,0,0,17.8,0,0,0,0,1,0.5,0.5,0,0.5
Body,"首","","首",0,0,1 ,2,0.5,0.5,0,0,18.21709,0,0,0,0,1,0.5,0.5,0,0.5
Body,"頭_1","","頭",0,0,1 ,2,0.7,1,0,0,19.3,-0.1,30,0,0,1,0.5,0.5,0,0.5
Body,"頭_2","","頭",0,8,1 ,2,0.55,1.2,0,0,19.4,0,0,0,0,1,0.5,0.5,0,0.5
Body,"左足","","左足",0,0,1 ,2,0.7,3.5,0,1.008462,10.16332,-0.2163436,3.0422,-0.2961,0,1,0.5,0.5,0,0.5
Body,"左ひざ","","左ひざ",0,0,1 ,2,1,3.5,0,1.030471,5.286238,0.3,-5.5848,-0.4267,4.375999,1,0.5,0.5,0,0.5
Body,"左足首_1","","左足首",0,0,1 ,2,0.7,2.5,0,1.248441,1.281663,-0.5,43.5857,0,0,1,0.5,0.5,0,0.5
Body,"左足首_2","","左足首",0,0,1 ,2,0.5,1.5,0,1.248441,1.1,0.8,0,0,0,1,0.5,0.5,0,0.5
Body,"右足","","右足",0,0,1 ,2,0.7,3.5,0,-1.008462,10.16332,-0.2163436,3.0422,0.2961,0,1,0.5,0.5,0,0.5
Body,"右ひざ","","右ひざ",0,0,1 ,2,1,3.5,0,-1.030471,5.286238,0.3,-5.5848,0.4267,-4.375999,1,0.5,0.5,0,0.5
Body,"右足首_1","","右足首",0,0,1 ,2,0.7,2.5,0,-1.248441,1.281663,-0.5,43.5857,0,0,1,0.5,0.5,0,0.5
Body,"右足首_2","","右足首",0,0,1 ,2,0.5,1.5,0,-1.248441,1.1,0.8,0,0,0,1,0.5,0.5,0,0.5
Body,"左肩","","左肩",0,0,1 ,2,0.5,0.5,0,0.7521976,17.42534,0,0,0,88.1322,1,0.5,0.5,0,0.5
Body,"左腕","","左腕",0,0,1 ,2,0.4,2.597124,0,2.242117,16.54904,0.07867965,-2.302238,-2.601869,48.52351,1,0.5,0.5,0,0.5
Body,"左ひじ","","左ひじ",0,0,1 ,2,0.4,2.992565,0,4.406454,14.78793,0.1479506,0.2171305,0.2874998,52.93884,1,0.5,0.5,0,0.5
Body,"右肩","","右肩",0,0,1 ,2,0.5,0.5,0,-0.7521976,17.42534,0,0,0,-88.1322,1,0.5,0.5,0,0.5
Body,"右腕","","右腕",0,0,1 ,2,0.4,2.597124,0,-2.242117,16.54904,0.07867965,-2.302238,2.601869,-48.52351,1,0.5,0.5,0,0.5
Body,"右ひじ","","右ひじ",0,0,1 ,2,0.4,2.992565,0,-4.406454,14.78793,0.1479506,0.2171305,-0.2874998,-52.93884,1,0.5,0.5,0,0.5
Body,"左前髪0301","","左前髪0301",2,1,,2,0.1,0.5,0,0.7863916,19.05167,-0.3688362,0,0,0,0.1,0.95,0.95,0,0.5
Body,"右前髪0301","","右前髪0301",2,1,,2,0.1,0.5,0,-0.7863916,19.05167,-0.3688362,0,0,0,0.1,0.95,0.95,0,0.5
Body,"前髪0201","","前髪0201",2,1,,2,0.15,0.3,0,-0.8238592,19.61925,-0.7464447,0,0,0,0.2,0.95,0.95,0,0.5
Body,"前髪0202","","前髪0202",2,1,,2,0.15,0.3,0,-0.8238592,18.91146,-0.7464447,0,0,0,0.1,0.95,0.95,0,0.5
Body,"前髪0101","","前髪0101",2,1,,2,0.1,0.5,0,0,19.72108,-0.9813824,0,0,0,0.1,0.95,0.95,0,0.5
Body,"右後髪0301","","右後髪0301",2,1,,2,0.1,0.3,0,-0.756014,18.8125,0.2332681,0,0,0,0.2,0.95,0.95,0,0.5
Body,"右後髪0302","","右後髪0302",2,1,,2,0.1,0.3,0,-0.756014,18.24848,0.2332681,0,0,0,0.1,0.95,0.95,0,0.5
Body,"左後髪0301","","左後髪0301",2,1,,2,0.1,0.3,0,0.756014,18.8125,0.2332681,0,0,0,0.2,0.95,0.95,0,0.5
Body,"左後髪0302","","左後髪0302",2,1,,2,0.1,0.3,0,0.756014,18.24848,0.2332681,0,0,0,0.1,0.95,0.95,0,0.5
